N,P,K,ph,rainfall,temperature,label,Fertilizer,humidity
0.4230769231,0.5,0.6551724138,6.5,0.5,20,Sugarcane,Urea,
0.4615384615,0.5,0.6551724138,6.5,0.5,20,Sugarcane,Urea,
0.5,0.5,0.6551724138,6.5,0.5,20,Sugarcane,Urea,
0.5384615385,0.5,0.6551724138,6.5,0.5,20,Sugarcane,Urea,
0.5769230769,0.5,0.6551724138,6.5,0.5,20,Sugarcane,Urea,
0.6153846154,0.5,0.6551724138,6.5,0.5,20,Sugarcane,Urea,
0.4230769231,0.5625,0.6896551724,7,0.5714285714,25,Sugarcane,Urea,
0.4615384615,0.5625,0.6896551724,7,0.5714285714,25,Sugarcane,Urea,
0.5,0.5625,0.6896551724,7,0.5714285714,25,Sugarcane,Urea,
0.5384615385,0.5625,0.6896551724,7,0.5714285714,25,Sugarcane,Urea,
0.5769230769,0.5625,0.6896551724,7,0.5714285714,25,Sugarcane,Urea,
0.6153846154,0.5625,0.6896551724,7,0.5714285714,25,Sugarcane,Urea,
0.4230769231,0.625,0.724137931,7.5,0.6428571429,30,Sugarcane,Urea,
0.4615384615,0.625,0.724137931,7.5,0.6428571429,30,Sugarcane,Urea,
0.5,0.625,0.724137931,7.5,0.6428571429,30,Sugarcane,Urea,
0.5384615385,0.625,0.724137931,7.5,0.6428571429,30,Sugarcane,Urea,
0.5769230769,0.625,0.724137931,7.5,0.6428571429,30,Sugarcane,Urea,
0.6153846154,0.625,0.724137931,7.5,0.6428571429,30,Sugarcane,Urea,
0.4230769231,0.5,0.7586206897,6.5,0.7142857143,35,Sugarcane,Urea,
0.4615384615,0.5,0.7586206897,6.5,0.7142857143,35,Sugarcane,Urea,
0.5,0.5,0.7586206897,6.5,0.7142857143,35,Sugarcane,Urea,
0.5384615385,0.5,0.7586206897,6.5,0.7142857143,35,Sugarcane,Urea,
0.5769230769,0.5,0.7586206897,6.5,0.7142857143,35,Sugarcane,Urea,
0.6153846154,0.5,0.7586206897,6.5,0.7142857143,35,Sugarcane,Urea,
0.4230769231,0.5625,0.6551724138,7,0.7857142857,20,Sugarcane,DAP,
0.4615384615,0.5625,0.6551724138,7,0.7857142857,20,Sugarcane,DAP,
0.5,0.5625,0.6551724138,7,0.7857142857,20,Sugarcane,DAP,
0.5384615385,0.5625,0.6551724138,7,0.7857142857,20,Sugarcane,DAP,
0.5769230769,0.5625,0.6551724138,7,0.7857142857,20,Sugarcane,DAP,
0.6153846154,0.5625,0.6551724138,7,0.7857142857,20,Sugarcane,DAP,
0.4230769231,0.625,0.6896551724,7.5,0.8571428571,25,Sugarcane,DAP,
0.4615384615,0.625,0.6896551724,7.5,0.8571428571,25,Sugarcane,DAP,
0.5,0.625,0.6896551724,7.5,0.8571428571,25,Sugarcane,DAP,
0.5384615385,0.625,0.6896551724,7.5,0.8571428571,25,Sugarcane,DAP,
0.5769230769,0.625,0.6896551724,7.5,0.8571428571,25,Sugarcane,DAP,
0.6153846154,0.625,0.6896551724,7.5,0.8571428571,25,Sugarcane,DAP,
0.4230769231,0.5,0.724137931,6.5,0.5,30,Sugarcane,DAP,
0.4615384615,0.5,0.724137931,6.5,0.5,30,Sugarcane,DAP,
